Customer_ID,Name,Email,Phone,Address,Age,Gender
CUST001,John Brown,user1@example.com,+91-9529226191,339 Maple Rd,64,Female
CUST002,Michael Miller,user2@demo.net,+91-7623619994,178 5th Street,49,Male
CUST003,Emma Wilson,user3@mail.com,+91-7765248579,927 Oak St,33,Male
CUST004,Alice Davis,user4@example.com,+91-8501845263,81 5th Street,22,Male
CUST005,John Rodriguez,user5@test.org,+91-7496390847,582 Oak St,30,Female
CUST006,Alice Jones,user6@mail.com,+91-9846882405,439 5th Street,56,Male
CUST007,David Smith,user7@test.org,+91-7594915067,526 Main St,44,Other
CUST008,Emma Davis,user8@demo.net,+91-7601717133,500 Park Lane,44,Male
CUST009,Emma Johnson,user9@example.com,+91-8204176646,993 Main St,27,Female
CUST010,Sophia Brown,user10@demo.net,+91-7279764108,532 Park Lane,36,Female
CUST011,Alice Smith,user11@example.com,+91-7060290937,573 Park Lane,39,Female
CUST012,Robert Miller,user12@example.com,+91-7190291137,364 5th Street,64,Female
CUST013,Olivia Smith,user13@mail.com,+91-8019075201,596 Oak St,53,Other
CUST014,Mary Williams,user14@demo.net,+91-7276562033,948 3rd Blvd,46,Other
CUST015,Olivia Wilson,user15@demo.net,+91-7134734628,145 3rd Blvd,45,Other
CUST016,David Johnson,user16@demo.net,+91-7425736096,413 Park Lane,34,Other
CUST017,Emma Rodriguez,user17@demo.net,+91-7413704489,116 5th Street,35,Male
CUST018,David Williams,user18@test.org,+91-8209420467,388 2nd Ave,63,Male
CUST019,Michael Smith,user19@demo.net,+91-9774832645,141 5th Street,61,Male
CUST020,William Williams,user20@example.com,+91-7753392281,31 Main St,22,Male
CUST021,John Johnson,user21@mail.com,+91-8767864434,891 Maple Rd,54,Other
CUST022,William Johnson,user22@test.org,+91-9386979648,361 5th Street,47,Female
CUST023,John Wilson,user23@test.org,+91-9505758429,825 Park Lane,47,Male
CUST024,Olivia Williams,user24@example.com,+91-9085342505,779 3rd Blvd,52,Male
CUST025,Michael Johnson,user25@mail.com,+91-9734280463,403 2nd Ave,55,Male
