Rider_ID,Name,Phone,Vehicle,Rating
RID001,Olivia Johnson,+91-9400438667,Bike,4.7
RID002,William Smith,+91-7105327470,Bike,4.6
RID003,Robert Johnson,+91-7614347333,Bike,4.4
RID004,David Garcia,+91-7628383196,Scooter,3.5
RID005,Michael Davis,+91-8410896697,Scooter,4.2
RID006,David Jones,+91-9608440387,Bike,3.9
RID007,Olivia Brown,+91-9804852149,Scooter,3.2
RID008,Michael Rodriguez,+91-9881507528,Scooter,4
RID009,David Davis,+91-8683755531,Scooter,4.9
RID010,Mary Garcia,+91-9907071803,Bike,4.9
RID011,William Rodriguez,+91-9983533264,Car,4.5
RID012,John Jones,+91-9473608519,Car,3.3
RID013,David Williams,+91-8442009106,Scooter,4.9
RID014,Alice Miller,+91-7751289714,Bike,4.4
RID015,William Garcia,+91-9742170384,Scooter,3.4
RID016,Robert Miller,+91-8832084621,Scooter,3.6
RID017,David Rodriguez,+91-9523078298,Car,5
RID018,John Wilson,+91-8768160460,Car,3.3
RID019,John Johnson,+91-9784353716,Scooter,3.1
RID020,Michael Davis,+91-8331264904,Scooter,3.5
RID021,William Rodriguez,+91-8420402934,Bike,4.1
RID022,Mary Smith,+91-9348923006,Scooter,4.5
RID023,John Garcia,+91-9361236224,Car,4.3
RID024,Emma Johnson,+91-9674677361,Bike,3.7
RID025,Olivia Jones,+91-9993180409,Car,4.1
